City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
83,Leningradskiy,RU,69.38,178.42,36.16,81,99,6.58,overcast clouds
84,Pemangkat,ID,1.17,108.97,83.03,76,24,7.02,moderate rain
85,Madinat Sittah Uktubar,EG,29.82,31.05,69.8,83,0,5.82,clear sky
86,Puerto Ayora,EC,-0.74,-90.35,68.0,94,97,1.99,overcast clouds
87,Mahebourg,MU,-20.41,57.7,73.4,83,20,12.75,few clouds
88,Thinadhoo,MV,0.53,72.93,82.74,76,71,15.03,broken clouds
89,Macas,EC,-2.32,-78.12,67.3,82,100,0.85,light rain
90,Karratha,AU,-20.74,116.85,83.05,27,0,6.87,clear sky
91,Rio Grande,BR,-32.03,-52.1,63.0,88,100,4.0,overcast clouds
92,Mwene-Ditu,CD,-7.0,23.45,65.8,93,45,2.21,scattered clouds
93,Hobart,AU,-42.88,147.33,66.0,62,75,9.17,broken clouds
94,Jishou,CN,28.32,109.72,63.18,70,0,1.99,clear sky
95,Tuatapere,NZ,-46.13,167.68,64.99,50,100,3.0,overcast clouds
96,Ambon,ID,-3.7,128.18,87.8,66,40,1.12,scattered clouds
97,New Norfolk,AU,-42.78,147.06,66.0,53,10,1.99,clear sky
98,Muli,MV,2.92,73.57,82.15,78,19,14.41,light rain
99,Salalah,OM,17.02,54.09,78.8,78,40,2.24,scattered clouds
100,Kidal,ML,18.44,1.41,86.45,13,0,9.64,clear sky
101,Sri Aman,MY,1.24,111.46,77.0,88,20,2.24,few clouds
102,Avarua,CK,-21.21,-159.78,77.0,83,100,11.41,light rain
103,Busselton,AU,-33.65,115.33,61.0,64,9,5.99,clear sky
104,Mahibadhoo,MV,3.78,72.97,82.78,76,7,15.73,light rain
105,Abu Kamal,SY,34.45,40.92,71.28,23,0,9.1,clear sky
106,Karlskoga,SE,59.33,14.52,52.0,93,90,6.93,moderate rain
107,Huarmey,PE,-10.07,-78.15,63.97,82,60,8.3,broken clouds
108,San Cristobal,VE,7.77,-72.22,66.96,89,73,2.73,broken clouds
109,Beckley,US,37.78,-81.19,62.6,67,1,1.81,clear sky
110,Bolitoc,PH,15.74,119.88,83.08,82,100,19.84,light rain
111,Vila,PT,42.03,-8.16,48.99,92,0,1.01,clear sky
112,Yekaterinovka,RU,52.05,44.35,32.81,96,100,6.73,overcast clouds
113,Vardo,NO,70.37,31.11,33.42,89,52,7.99,broken clouds
114,Tiksi,RU,71.69,128.87,11.26,94,100,5.03,overcast clouds
115,Kruisfontein,ZA,-34.0,24.73,55.22,67,0,5.84,clear sky
116,Ponta Do Sol,PT,32.67,-17.1,62.6,72,40,9.17,light intensity shower rain
117,Kawalu,ID,-7.38,108.21,81.34,72,8,1.41,clear sky
118,Butaritari,KI,3.07,172.79,81.91,71,6,9.06,clear sky
119,Castro,BR,-24.79,-50.01,59.67,94,19,8.55,few clouds
120,Bima,ID,-8.47,118.72,90.27,52,1,3.06,clear sky
121,Hilo,US,19.73,-155.09,84.2,54,1,9.17,clear sky
122,Severo-Kurilsk,RU,50.68,156.12,43.36,68,99,16.08,overcast clouds
123,Chuy,UY,-33.7,-53.46,58.51,74,100,15.14,overcast clouds
124,Callaguip,PH,18.07,120.49,80.6,88,75,2.24,broken clouds
125,Puerto Escondido,MX,15.85,-97.07,84.2,70,75,3.36,broken clouds
126,Yerbogachen,RU,61.28,108.01,24.28,97,100,9.26,light snow
127,Yenotayevka,RU,47.25,47.03,46.0,89,100,4.05,heavy intensity rain
128,Blagoveshchenka,RU,52.83,79.87,49.24,49,100,18.16,overcast clouds
129,Ibipeba,BR,-11.64,-42.01,73.83,38,0,6.08,clear sky
130,Oudtshoorn,ZA,-33.59,22.2,50.0,100,90,4.7,fog
131,Bantry,IE,51.68,-9.45,41.0,93,20,6.93,few clouds
132,Port Hardy,CA,50.7,-127.42,48.2,70,20,8.05,few clouds
133,La Libertad,EC,-2.23,-80.9,71.6,83,75,6.93,broken clouds
134,Nan,TH,18.83,100.67,73.4,88,75,1.52,broken clouds
135,Aitape,PG,-3.14,142.35,81.34,78,98,5.01,moderate rain
136,Badnawar,IN,23.02,75.22,69.8,73,72,3.76,haze
137,Mandalgovi,MN,45.76,106.27,27.39,87,0,6.89,clear sky
138,Constitucion,CL,-35.33,-72.42,49.42,84,0,8.72,clear sky
139,Tocopilla,CL,-22.09,-70.2,61.92,63,36,6.55,scattered clouds
140,Port Alfred,ZA,-33.59,26.89,62.24,82,0,10.69,clear sky
141,Maragogi,BR,-9.01,-35.22,76.15,88,0,7.81,clear sky
142,Pompeu,BR,-19.22,-44.94,69.3,86,80,3.53,broken clouds
143,Ostrovnoy,RU,68.05,39.51,30.29,97,99,6.29,overcast clouds
